hour,base_load_kw,pv_kw,import_price,export_price,flex_load_kw,battery_mode,battery_charge_kw,battery_discharge_kw,battery_setpoint_kw,soc_start_kwh,soc_end_kwh,grid_import_kw,grid_export_kw,net_grid_kw,pv_curtail_kw,bill_cost,battery_wear_cost,total_cost,baseline_cost,cumulative_cost,cumulative_baseline_cost,cumulative_savings,cumulative_profit
0,0.7,0.0,0.22,0.08,0.0,discharge,0.0,0.7,-0.7,5.0,4.2631578947368425,0.0,0.0,0.0,0.0,0.0,0.010499999999999999,0.010499999999999999,0.154,0.010499999999999999,0.154,0.1435,-0.010499999999999999
1,0.6,0.0,0.22,0.08,0.0,discharge,0.0,0.6,-0.6,4.2631578947368425,3.6315789473684212,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.132,0.019499999999999997,0.28600000000000003,0.2665,-0.019499999999999997
2,0.6,0.0,0.22,0.08,0.0,discharge,0.0,0.5940952255126039,-0.5940952255126039,3.6315789473684212,3.006215552091996,0.005904774487396125,0.0,0.005904774487396125,0.0,0.0012990503872271474,0.008911428382689058,0.010210478769916206,0.132,0.029710478769916202,0.41800000000000004,0.3882895212300838,-0.029710478769916202
3,0.6,0.0,0.22,0.08,0.0,idle,0.0,0.0,0.0,3.006215552091996,3.006215552091996,0.6,0.0,0.6,0.0,0.132,0.0,0.132,0.132,0.1617104787699162,0.55,0.38828952123008387,-0.1617104787699162
4,0.7,0.0,0.22,0.08,0.0,idle,0.0,0.0,0.0,3.006215552091996,3.006215552091996,0.7,0.0,0.7,0.0,0.154,0.0,0.154,0.154,0.3157104787699162,0.7040000000000001,0.38828952123008387,-0.3157104787699162
5,0.9,0.0,0.22,0.08,0.0,idle,0.0,0.0,0.0,3.006215552091996,3.006215552091996,0.9,0.0,0.9,0.0,0.198,0.0,0.198,0.198,0.5137104787699163,0.9020000000000001,0.38828952123008387,-0.5137104787699163
6,1.4,0.0,0.55,0.08,0.0,discharge,0.0,1.4,-1.4,3.006215552091996,1.5325313415656803,0.0,0.0,0.0,0.0,0.0,0.020999999999999998,0.020999999999999998,0.77,0.5347104787699163,1.6720000000000002,1.137289521230084,-0.5347104787699163
7,1.8,1.2940952255126037,0.55,0.08,0.0,discharge,0.0,0.5059047744873963,-0.5059047744873963,1.5325313415656803,1.0,0.0,0.0,0.0,0.0,0.0,0.007588571617310945,0.007588571617310945,0.278247625968068,0.5422990503872273,1.950247625968068,1.407948575580841,-0.5422990503872273
8,1.5,2.4999999999999996,0.55,0.08,0.0,idle,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999996,-0.9999999999999996,0.0,-0.07999999999999996,0.0,-0.07999999999999996,-0.07999999999999996,0.4622990503872273,1.870247625968068,1.4079485755808407,-0.4622990503872273
9,1.1,3.5355339059327373,0.55,0.08,0.0,idle,0.0,0.0,0.0,1.0,1.0,0.0,2.435533905932737,-2.435533905932737,0.0,-0.19484271247461898,0.0,-0.19484271247461898,-0.19484271247461898,0.2674563379126083,1.675404913493449,1.4079485755808407,-0.2674563379126083
10,0.9,4.330127018922193,0.45,0.08,3.0,idle,0.0,0.0,0.0,1.0,1.0,0.0,0.43012701892219285,-0.43012701892219285,0.0,-0.03441016151377543,0.0,-0.03441016151377543,-0.20583873294234686,0.23304617639883288,1.4695661805511022,1.2365200041522693,-0.23304617639883288
11,0.8,4.8296291314453415,0.45,0.08,0.0,idle,0.0,0.0,0.0,1.0,1.0,0.0,4.029629131445342,-4.029629131445342,0.0,-0.32237033051562736,0.0,-0.32237033051562736,-0.25379890194419874,-0.08932415411679448,1.2157672786069034,1.3050914327236978,0.08932415411679448
12,0.8,5.0,0.45,0.08,3.0,idle,0.0,0.0,0.0,1.0,1.0,0.0,1.2000000000000002,-1.2000000000000002,0.0,-0.09600000000000002,0.0,-0.09600000000000002,-0.26742857142857146,-0.18532415411679448,0.9483387071783319,1.1336628612951265,0.18532415411679448
13,0.9,4.8296291314453415,0.45,0.08,0.0,charge,2.6080232856713845,0.0,2.6080232856713845,1.0,3.477622121387815,0.0,1.321605845773957,-1.321605845773957,0.0,-0.10572846766191657,0.039120349285070764,-0.0666081183768458,-0.24579890194419876,-0.25193227249364025,0.7025398052341332,0.9544720777277734,0.25193227249364025
14,1.0,4.330127018922194,0.45,0.08,0.0,charge,3.3301270189221936,0.0,3.3301270189221936,3.477622121387815,6.641242789363899,0.0,0.0,0.0,0.0,0.0,0.0499519052838329,0.0499519052838329,-0.1978387329423469,-0.20198036720980736,0.5047010722917863,0.7066814395015937,0.20198036720980736
15,1.1,3.5355339059327378,0.45,0.08,0.0,charge,2.4355339059327377,0.0,2.4355339059327377,6.641242789363899,8.955,0.0,0.0,0.0,0.0,0.0,0.03653300858899106,0.03653300858899106,-0.12627128390319045,-0.1654473586208163,0.37842978838859587,0.5438771470094121,0.1654473586208163
16,1.4,2.4999999999999996,0.45,0.08,0.0,charge,1.0999999999999996,0.0,1.0999999999999996,8.955,10.0,0.0,0.0,0.0,0.0,0.0,0.016499999999999994,0.016499999999999994,-0.019428571428571396,-0.14894735862081632,0.35900121696002446,0.5079485755808408,0.14894735862081632
17,2.0,1.294095225512605,0.9,0.25,0.0,discharge,0.0,0.705904774487395,-0.705904774487395,10.0,9.256942342644848,0.0,0.0,0.0,0.0,0.0,0.010588571617310924,0.010588571617310924,0.6353142970386555,-0.1383587870035054,0.9943155139986799,1.1326743010021854,0.1383587870035054
18,2.8,6.123233995736766e-16,0.9,0.25,0.0,discharge,0.0,2.7999999999999994,-2.7999999999999994,9.256942342644848,6.309573921592217,0.0,0.0,0.0,0.0,0.0,0.04199999999999999,0.04199999999999999,2.5199999999999996,-0.09635878700350542,3.5143155139986795,3.610674301002185,0.09635878700350542
19,3.0,0.0,0.9,0.25,0.0,discharge,0.0,3.0,-3.0,6.309573921592217,3.1516791847501118,0.0,0.0,0.0,0.0,0.0,0.045,0.045,2.7,-0.05135878700350542,6.214315513998679,6.265674301002185,0.05135878700350542
20,2.6,0.0,0.9,0.25,0.0,discharge,0.0,2.0440952255126064,-2.0440952255126064,3.1516791847501118,1.0,0.5559047744873937,0.0,0.5559047744873937,0.0,0.5003142970386544,0.030661428382689093,0.5309757254213434,2.3400000000000003,0.479616938417838,8.554315513998679,8.074698575580841,-0.479616938417838
21,2.0,0.0,0.9,0.08,0.0,idle,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.8,0.0,1.8,1.8,2.279616938417838,10.35431551399868,8.074698575580841,-2.279616938417838
22,1.3,0.0,0.5,0.08,0.0,idle,0.0,0.0,0.0,1.0,1.0,1.3,0.0,1.3,0.0,0.65,0.0,0.65,0.65,2.929616938417838,11.00431551399868,8.074698575580843,-2.929616938417838
23,0.9,0.0,0.5,0.08,0.0,charge,4.2105263157894735,0.0,4.2105263157894735,1.0,5.0,5.110526315789474,0.0,5.110526315789474,0.0,2.555263157894737,0.0631578947368421,2.618421052631579,0.45,5.5480379910494175,11.45431551399868,5.906277522949262,-5.5480379910494175
